                                                                                                    0x00001505
ABILITIES                                                                                           0x5987c381
ABILITIES_MENU_ITEM                                                                                 0x1cb70667
AButton                                                                                             0x5e9a1ef2
ACCEPT_BUTTON                                                                                       0xe3e1f30c
ADDREMOVE                                                                                           0xddd82ac2
ADJUST_POSITION                                                                                     0xddf7801e
ADJUST_SIZE                                                                                         0x7e921062
AGENTS                                                                                              0x96619c4f
AGENTS_TEXT                                                                                         0x5c7a402d
AI_TACTICS_LABEL                                                                                    0xe4f038b0
AI_TACTICS_OFF                                                                                      0x3a4642f9
AI_TACTICS_ON                                                                                       0x571966d7
ALCHEMY_REQUIRES                                                                                    0xfc982b33
ALONE_WARNING                                                                                       0x641ac9b9
AR Melee                                                                                            0x853fe4d2
ARMORCRAFTING                                                                                       0xe4b00584
ARMOR_CRAFTING_MENU_ITEM                                                                            0xf7bad1fd
ARMOR_LABEL                                                                                         0xec773c3f
ARMOR_UPGRADES_MENU_ITEM                                                                            0xad8c343c
ASSOCIATE_ACCOUNT_TITLE                                                                             0xb93f91b0
AUTOSAVE                                                                                            0x9dd1720b
Abdomen                                                                                             0x1755e4ab
Abilities                                                                                           0xb4176341
AbilityBkg                                                                                          0x36fa7ca9
Adam's Apple                                                                                        0xddead930
Alistair                                                                                            0xcd9d599c
AlwaysLogIn                                                                                         0x7599c4b7
AmbientOcclusion                                                                                    0x84a412f0
Angry Mob Soldier 1                                                                                 0xf45ec29d
Angry Mob Soldier 2                                                                                 0xf45ec29e
Angry Mob Soldier 3                                                                                 0xf45ec29f
AntEntryIdEnum_Humvee_Driver                                                                        0xb614be2c
AntiAliasingDeferred                                                                                0x43e46f42
AntiAliasingPost                                                                                    0xd4e8d8d9
Apothecary                                                                                          0x6b52390b
AppliedEffect                                                                                       0x474a50f7
ApprovalBar                                                                                         0xd1330333
ArmorCrafting                                                                                       0xaf40eaa4
ArmorUpgrades                                                                                       0xc0946d65
ArmourRating                                                                                        0x2d973eb4
ArrowHeal                                                                                           0xf6179d1c
AudioCompressionMode                                                                                0x6dbcfb5e
AudioIgnoresWindowFocus                                                                             0xfa9efd98
AutoSave                                                                                            0xd2e3110b
BACK                                                                                                0x7c8023ee
BACKGROUND_BUTTON_LABEL                                                                             0x168676db
BACK_BUTTON_LABEL                                                                                   0xaeb3d7fe
BButton                                                                                             0x454183f1
BID_Alt                                                                                             0x5262a96c
BID_DpadAllDir                                                                                      0xf6ff9a5a
BID_DpadDown                                                                                        0x5a055c16
BID_DpadLeft                                                                                        0x5a09837f
BID_DpadRight                                                                                       0x9c7f8b24
BID_DpadUp                                                                                          0x3136c901
BID_DpadX                                                                                           0x75dadf5c
BID_DpadY                                                                                           0x75dadf5d
BID_FaceDown                                                                                        0x80ebbfc6
BID_FaceLeft                                                                                        0x80f00b2f
BID_FaceRight                                                                                       0x9d679c74
BID_FaceUp                                                                                          0x2d7d08d1
BID_LeftRightTriggers1                                                                              0x3152bcb4
BID_LeftRightTriggers2                                                                              0x3152bcb7
BID_LeftStickAllDir                                                                                 0x97d88616
BID_LeftStickX                                                                                      0x069e1110
BID_LeftStickY                                                                                      0x069e1111
BID_LeftThumb                                                                                       0x26aa3ac8
BID_LeftTrigger1                                                                                    0xf0e94807
BID_LeftTrigger2                                                                                    0xf0e94804
BID_RightStickAllDir                                                                                0xa242a24d
BID_RightStickX                                                                                     0xbc205e6b
BID_RightStickY                                                                                     0xbc205e6a
BID_RightThumb                                                                                      0xc76a7153
BID_RightTrigger1                                                                                   0x817ebc7c
BID_RightTrigger2                                                                                   0x817ebc7f
BID_Start                                                                                           0x750021b5
BLES01657_00                                                                                        0xe87fe037
BLJM61204_00                                                                                        0x9150afe2
BLUS30997_00                                                                                        0x4f5261e6
BONUS_MASTERWORK_SUCCESS_TEMPLATE                                                                   0x4b24c911
BREADCRUMBS_CREATION                                                                                0x0841c4db
BREADCRUMBS_DIFFICULTY                                                                              0xccca8be1
BREADCRUMB_ALCHEMY                                                                                  0xd243ff96
BREADCRUMB_ARMOR                                                                                    0x43ae9942
BREADCRUMB_ARMORER                                                                                  0xe9b9faf5
BREADCRUMB_CUSTOM                                                                                   0xb5450672
BREADCRUMB_MODIFY_ARMOR                                                                             0xb05ab1ad
BREADCRUMB_MODIFY_WEAPON                                                                            0xc93a7a2c
BREADCRUMB_POTION_BELT                                                                              0x085ecbe2
BREADCRUMB_SELECT_MATERIALS                                                                         0x25469ece
BREADCRUMB_WEAPON                                                                                   0xe2456e23
BREADCRUMB_WEAPONSMITH                                                                              0x03d502e8
BUTTON_BACK                                                                                         0x6e182c27
BUTTON_BACK_AND_MELT                                                                                0xefe76bdc
BUTTON_CANCEL                                                                                       0x56feec4a
BUTTON_CHANGEPROFILE                                                                                0x7dd5a5a1
BUTTON_LABEL_ARMORMODIFICATION                                                                      0x15650e68
BUTTON_LABEL_BACK                                                                                   0x5b65877e
BUTTON_LABEL_CANCEL                                                                                 0xd1c23393
BUTTON_LABEL_CLOSE                                                                                  0xc84f59c3
BUTTON_LABEL_COMPARE                                                                                0x16f0fc52
BUTTON_LABEL_COMPAREMAINHAND                                                                        0x581f009a
BUTTON_LABEL_COMPAREOFFHAND                                                                         0x5b70c9de
BUTTON_LABEL_DESTROY                                                                                0x8c7fd0b7
BUTTON_LABEL_EQUIP                                                                                  0xc790732d
BUTTON_LABEL_EXAMINE                                                                                0x058d5a06
BUTTON_LABEL_MARKFORSALE                                                                            0xb31926e0
BUTTON_LABEL_MARKFORSALVAGE                                                                         0x9dd389f0
BUTTON_LABEL_MELT                                                                                   0x5b662be5
BUTTON_LABEL_MELTALLMARKED                                                                          0xc28bb850
BUTTON_LABEL_SELECT                                                                                 0xac2a781d
BUTTON_LABEL_SWITCHCHARACTERS                                                                       0x250fef0d
BUTTON_LABEL_UNEQUIP                                                                                0x5ff32cf6
BUTTON_LABEL_UNMARKFORSALE                                                                          0x268f317b
BUTTON_LABEL_UNMARKFORSALVAGE                                                                       0xeb45848b
BUTTON_LABEL_WEAPONMODIFICATION                                                                     0x6174f609
BUTTON_LEGEND_APPLY                                                                                 0x8d83a746
BUTTON_LEGEND_AUTOLEVEL                                                                             0xa0f6860b
BUTTON_LEGEND_BACK                                                                                  0x0c0850f9
BUTTON_LEGEND_CANCEL_MAP                                                                            0x3bf20717
BUTTON_LEGEND_COMMAND_LIST                                                                          0x709ada08
BUTTON_LEGEND_DETAILS                                                                               0x09552f50
BUTTON_LEGEND_LEARN                                                                                 0x8e53ba26
BUTTON_LEGEND_MAP                                                                                   0xab08526e
BUTTON_LEGEND_NEXT_CHARACTER                                                                        0x3a0f00b3
BUTTON_LEGEND_PREVIOUS_CHARACTER                                                                    0xce75e005
BUTTON_LEGEND_PREV_CHARACTER                                                                        0x6abf2345
BUTTON_LEGEND_RESET                                                                                 0x8bf35c07
BUTTON_LEGEND_RESET_ABILITIES                                                                       0x4be3c75c
BUTTON_LEGEND_SELECT                                                                                0x0c86b69a
BUTTON_LEGEND_SPELL_BOOK                                                                            0xd1278d22
BUTTON_LEGEND_SWITCH_CHARACTERS                                                                     0xf4523f15
BUTTON_LEGEND_TACTICS_USAGE                                                                         0x8393d4f3
BUTTON_LEGEND_UNLEARN                                                                               0x92e6107d
BUTTON_LEGEND_UPGRADE_TOGGLE                                                                        0x49ae49af
BUTTON_MARK_FOR_MELT                                                                                0x4455c9b2
BUTTON_OK                                                                                           0xb957b368
BUTTON_RESET                                                                                        0x323cc499
BUTTON_SELECT                                                                                       0x7c1085c4
BUTTON_UNMARK_FOR_MELT                                                                              0xad0572e9
BUY                                                                                                 0x0b87c48b
BUY_BACK                                                                                            0xcb814cdf
BWPopUpButtonId_Back                                                                                0xb8686d15
BWPopUpButtonId_FaceDown                                                                            0xb225150d
BWPopUpButtonId_FaceLeft                                                                            0xb220eea4
BWPopUpButtonId_FaceRight                                                                           0xf5858b5f
BWPopUpButtonId_Unknown                                                                             0x5fbc9f36
BackLeftLeg                                                                                         0x070e403b
BackRightLeg                                                                                        0xd053c680
