A                                                                                                   0x0002b5e4
AI2System                                                                                           0x29748eba
AIBranchingEnabled                                                                                  0xcb8cfd5c
AIControlled                                                                                        0xaac48187
AIData                                                                                              0x96cbf95d
AIDecision                                                                                          0xb4de21bd
AILooksIntoCamera                                                                                   0xa7941afc
AILoudness                                                                                          0x8e72f694
AISharedCooldown                                                                                    0x52a87ef9
AISharedCooldowns                                                                                   0xa7b85e6a
AIStaticTargetableEntityData                                                                        0xf8bae3e5
AISystem                                                                                            0xa4d7cbe8
AIUseableStaticTargetComponentData                                                                  0x42dfdfb2
ANTBlendKeyframe                                                                                    0x7915b2f5
ANTBlendKeyframeTrackData                                                                           0x4781668a
ANTBoolTrackData                                                                                    0x58c0bb6f
ANTClipKeyframe                                                                                     0x9169f702
ANTClipKeyframeTrackData                                                                            0x54248e5d
ANTControlTrackData                                                                                 0xd188c7c6
ANTFloatTrackData                                                                                   0x9b3c7791
ANTIntTrackData                                                                                     0x1a453012
ANTSignalTrackData                                                                                  0x5411e93f
ANTTrajectoryTransformLayerData                                                                     0xd2645c7a
ANTVec3TrackData                                                                                    0xca14c382
AOECasting                                                                                          0x3123a82b
AOECastingControllerData                                                                            0xe72211e7
AOECastingDetachedControllerData                                                                    0xffef7759
AOEDamage                                                                                           0xba4cbde5
AOEDamageStatString                                                                                 0x1ddb2282
AOEDamageString                                                                                     0xa068ca70
AOEDeadZone                                                                                         0xbd6fb7b4
AOEDistanceSpeed                                                                                    0xfe406b8a
AOEStrafeSpeed                                                                                      0x0844b79e
AOEThrottleSpeed                                                                                    0xd4187781
AOETransform                                                                                        0x0adf4242
AOEYawSpeed                                                                                         0xb95ddce6
APTActiveDecay                                                                                      0x2dcb0876
APTMaxScore                                                                                         0x5aebbfbc
APTPassiveDecay                                                                                     0x360af5d1
Aabb                                                                                                0x7c7e0bc5
Abilities                                                                                           0xb4176341
Ability                                                                                             0x189d0da7
AbilityAlias                                                                                        0xe005fa71
AbilityCooldownModifierValue                                                                        0x3e13efa6
AbilityCooldownTimer                                                                                0x2eec5c3d
AbilityDamage                                                                                       0xd512184c
AbilityDescriptionImage                                                                             0xbbc28d26
AbilityDescriptionReference                                                                         0x40ee89ea
AbilityForInteractions                                                                              0xc14eb2b5
AbilityGuid                                                                                         0x164898d8
AbilityIcon                                                                                         0x1652174c
AbilityMap                                                                                          0x36faa9bb
AbilityNameReference                                                                                0xdefe8aeb
AbilityPointsStat                                                                                   0x854fd0ca
AbilityResourcePercentage                                                                           0xa1e4ff55
AbilityResourceStat                                                                                 0x3fd88f5f
AbilityTag                                                                                          0x36fac7f5
AbilityTags                                                                                         0x1653c6e6
AbilityTargetOffset                                                                                 0x8f6410db
AbilityTooltipReference                                                                             0x2b986199
AbilityTree                                                                                         0x165365e1
AbilityTreeBackground                                                                               0xd4d2a6af
AbilityTreeIcon                                                                                     0x3b8bed0a
AbilityTreeIconX                                                                                    0xad098e12
AbilityTreeIconY                                                                                    0xad098e13
AbilityTreeInfo                                                                                     0x3b8bbfef
AbilityTreeVisitedPlotFlag                                                                          0x486da5fa
AbilityTreeX                                                                                        0xe0c02259
AbilityTreeY                                                                                        0xe0c02258
AbilityTrees                                                                                        0xe0c02272
AbilityUsageDefault                                                                                 0x7b04f209
